grade_num,loan_grade,apr,36_mo,60_mo
34,A1,6.03,6.78,7.30
33,A2,6.97,7.99,8.26
32,A3,7.62,8.99,8.91
31,A4,8.6,9.98,9.91
30,A5,9.25,10.99,10.56
29,B1,9.99,12.46,12.23
28,B2,10.99,13.84,13.25
27,B3,11.99,14.85,14.27
26,B4,12.99,15.87,15.30
25,B5,13.67,16.56,15.99
24,C1,14.30,17.96,16.64
23,C2,15.1,18.77,17.45
22,C3,15.61,19.29,17.98
21,C4,16.2,19.90,18.58
20,C5,17.1,20.82,19.50
19,D1,17.76,21.49,20.18
18,D2,18.55,22.30,20.99
17,D3,19.2,22.97,21.65
16,D4,19.52,23.29,21.98
15,D5,20.20,23.99,22.68
14,E1,21.00,24.81,23.50
13,E2,21.7,25.52,24.22
12,E3,22.4,26.24,24.93
11,E4,23.1,26.96,25.65
9,E5,23.4,27.26,25.96
8,F1,23.7,27.57,26.27
7,F2,24.08,27.96,26.66
6,F3,24.5,28.39,27.09
5,F4,24.99,28.89,27.59
4,F5,25.57,29.49,28.19
3,G1,25.8,29.72,28.42
2,G2,25.83,29.75,28.45
2,G3,25.89,29.81,28.62
1,G4,25.99,29.92,28.62
0,G5,26.06,29.99,28.69
